
1444234889.984:  AA AA 04 80 02 FF D5 A9
1444234889.984:  AA AA 04 80 02 FF C8 B6
1444234889.984:  AA AA 04 80 02 00 1C 61
1444234889.984:  AA AA 04 80 02 FF FB 83
1444234889.984:  AA AA 04 80 02 FF 77 07
1444234889.984:  AA AA 04 80 02 FF BE C0
1444234889.984:  AA AA 04 80 02 FF F2 8C
1444234889.984:  AA AA 04 80 02 FF C9 B5
1444234889.984:  AA AA 04 80 02 FF FD 81
1444234889.984:  AA AA 04 80 02 FF D2 AC
1444234889.984:  AA AA 04 80 02 FF C6 B8
1444234889.984:  AA AA 04 80 02 00 14 69
1444234889.984:  AA AA 04 80 02 FF C8 B6
1444234889.984:  AA AA 04 80 02 FF 9F DF
1444234889.984:  AA AA 04 80 02 FF E8 96
1444234889.984:  AA AA 04 80 02 FF CC B2
1444234889.984:  AA AA 04 80 02 FF D5 A9
1444234889.984:  AA AA 04 80 02 FF EE 90
1444234889.984:  AA AA 04 80 02 FF AE D0
1444234889.984:  AA AA 04 80 02 FF F6 88
1444234889.984:  AA AA 04 80 02 00 28 55
1444234889.984:  AA AA 04 80 02 FF C8 B6
1444234889.984:  AA AA 04 80 02 FF D8 A6
1444234889.984:  AA AA 04 80 02 FF E9 95
1444234889.984:  AA AA 04 80 02 FF D9 A5
1444234889.984:  AA AA 04 80 02 00 46 37
1444234889.984:  AA AA 04 80 02 00 52 2B
1444234889.984:  AA AA 04 80 02 00 24 59
1444234889.984:  AA AA 04 80 02 00 7B 02
1444234889.984:  AA AA 04 80 02 00 58 25
1444234889.984:  AA AA 04 80 02 00 0D 70
1444234889.984:  AA AA 04 80 02 00 2B 52
1444234889.984:  AA AA 04 80 02 FF F9 85
1444234889.984:  AA AA 04 80 02 00 1B 62
1444234889.984:  AA AA 04 80 02 00 8C F1
1444234889.984:  AA AA 04 80 02 00 52 2B
1444234889.984:  AA AA 04 80 02 00 51 2C
1444234889.984:  AA AA 04 80 02 00 90 ED
1444234889.984:  AA AA 04 80 02 00 4C 31
1444234889.984:  AA AA 04 80 02 00 72 0B
1444234889.984:  AA AA 04 80 02 00 94 E9
1444234889.984:  AA AA 04 80 02 00 50 2D
1444234889.984:  AA AA 04 80 02 00 A8 D5
1444234889.984:  AA AA 04 80 02 00 C4 B9
1444234889.984:  AA AA 04 80 02 00 6D 10
1444234889.984:  AA AA 04 80 02 00 89 F4
1444234889.984:  AA AA 04 80 02 00 7B 02
1444234889.984:  AA AA 04 80 02 00 58 25
1444234889.984:  AA AA 04 80 02 00 97 E6
1444234889.984:  AA AA 04 80 02 00 50 2D
1444234889.984:  AA AA 04 80 02 00 23 5A
1444234889.984:  AA AA 04 80 02 00 93 EA
1444234889.984:  AA AA 04 80 02 00 6A 13
1444234889.984:  AA AA 04 80 02 00 30 4D
1444234889.984:  AA AA 04 80 02 00 33 4A
1444234889.984:  AA AA 04 80 02 FF DB A3
1444234889.984:  AA AA 04 80 02 FF F3 8B
1444234889.984:  AA AA 04 80 02 00 14 69
1444234890.000:  AA AA 04 80 02 FF AB D3
1444234890.000:  AA AA 04 80 02 FF C5 B9
1444234890.000:  AA AA 04 80 02 00 1B 62
1444234890.000:  AA AA 04 80 02 00 01 7C
1444234890.000:  AA AA 04 80 02 00 18 65
1444234890.000:  AA AA 04 80 02 FF FF 7F
1444234890.000:  AA AA 04 80 02 FF CA B4
1444234890.000:  AA AA 04 80 02 00 2A 53
1444234890.000:  AA AA 04 80 02 00 15 68
1444234890.000:  AA AA 04 80 02 FF BA C4
1444234890.000:  AA AA 04 80 02 00 03 7A
1444234890.000:  AA AA 04 80 02 00 2B 52
1444234890.000:  AA AA 04 80 02 00 32 4B
1444234890.000:  AA AA 04 80 02 00 39 44
1444234890.000:  AA AA 04 80 02 FF BE C0
1444234890.000:  AA AA 04 80 02 FF BF BF
1444234890.000:  AA AA 04 80 02 00 14 69
1444234890.000:  AA AA 04 80 02 FF C7 B7
1444234890.000:  AA AA 04 80 02 FF BE C0
1444234890.000:  AA AA 04 80 02 00 09 74
1444234890.000:  AA AA 04 80 02 00 02 7B
1444234890.000:  AA AA 04 80 02 00 1D 60
1444234890.000:  AA AA 04 80 02 00 00 7D
1444234890.000:  AA AA 04 80 02 FF 8F EF
1444234890.000:  AA AA 04 80 02 FF E2 9C
1444234890.000:  AA AA 04 80 02 00 05 78
1444234890.000:  AA AA 04 80 02 FF A5 D9
1444234890.000:  AA AA 04 80 02 FF B7 C7
1444234890.000:  AA AA 04 80 02 FF AA D4
1444234890.000:  AA AA 04 80 02 FF B9 C5
1444234890.000:  AA AA 04 80 02 00 0D 70
1444234890.000:  AA AA 04 80 02 FF B4 CA
1444234890.000:  AA AA 04 80 02 FF 6A 14
1444234890.000:  AA AA 04 80 02 FF CE B0
1444234890.000:  AA AA 04 80 02 FF BB C3
1444234890.000:  AA AA 04 80 02 FF A9 D5
1444234890.000:  AA AA 04 80 02 FF DD A1
1444234890.000:  AA AA 04 80 02 FF A5 D9
1444234890.000:  AA AA 04 80 02 FF D3 AB
1444234890.000:  AA AA 04 80 02 FF FD 81
1444234890.000:  AA AA 04 80 02 FF 8F EF
1444234890.000:  AA AA 04 80 02 FF B5 C9
1444234890.000:  AA AA 04 80 02 00 09 74
1444234890.000:  AA AA 04 80 02 FF E3 9B
1444234890.000:  AA AA 04 80 02 00 00 7D
1444234890.000:  AA AA 04 80 02 FF FF 7F
1444234890.000:  AA AA 04 80 02 FF DA A4
1444234890.000:  AA AA 04 80 02 00 39 44
1444234890.000:  AA AA 04 80 02 00 24 59
1444234890.000:  AA AA 04 80 02 FF C9 B5
