# H:M:S.f Gyro(x) Gyro(y) F3 FC5 AF3 F7 T7 P7 O1 O2 P8 T8 F8 AF4 FC6 F4
14:35:23.887667 2043 2038 2133.0801 2133.0801 2131.2594 2130.9993 2132.2998 2132.5599 2128.6584 2130.4791 2134.1205 2135.1609 2134.9008 2138.022 2161.1709 2506.5837 
14:35:23.895635 2042 2036 2131.2594 2133.0801 2132.2998 2131.7796 2130.219 2136.4614 2130.219 2132.2998 2134.3806 2136.2013 2132.82 2137.2417 2161.6911 2506.0635 
14:35:23.903662 2044 2037 2132.5599 2132.2998 2131.7796 2131.2594 2128.6584 2135.9412 2128.9185 2132.5599 2133.8604 2135.1609 2130.7392 2134.3806 2162.7315 2509.7049 
14:35:23.911667 2044 2038 2130.7392 2130.9993 2131.2594 2133.6003 2131.7796 2129.9589 2133.3402 2131.7796 2133.8604 2133.0801 2131.5195 2133.3402 2160.1305 2503.2024 
14:35:23.919668 2047 2038 2133.6003 2129.6988 2130.9993 2129.9589 2130.7392 2125.2771 2130.219 2131.2594 2134.1205 2133.3402 2132.2998 2136.7215 2159.3502 2506.5837 
14:35:23.927667 2045 2038 2132.0397 2129.9589 2132.82 2130.219 2132.5599 2127.0978 2132.0397 2133.3402 2134.1205 2133.8604 2132.0397 2135.421 2159.6103 2503.7226 
14:35:23.935665 2045 2038 2133.0801 2131.5195 2132.0397 2130.4791 2133.0801 2133.6003 2131.2594 2132.82 2134.3806 2134.1205 2134.9008 2136.9816 2162.2113 2506.0635 
14:35:23.943663 2044 2038 2130.9993 2133.3402 2131.7796 2132.82 2134.1205 2137.5018 2132.82 2132.0397 2135.421 2134.6407 2133.6003 2136.4614 2159.8704 2502.4221 
14:35:23.950668 2043 2036 2131.2594 2133.6003 2131.7796 2131.5195 2131.2594 2135.6811 2128.3983 2132.0397 2135.1609 2134.6407 2130.7392 2136.7215 2159.6103 2507.1039 
14:35:23.958665 2045 2038 2130.7392 2134.6407 2132.2998 2132.0397 2132.0397 2131.5195 2131.7796 2132.0397 2133.6003 2134.3806 2129.4387 2134.3806 2160.6507 2508.4044 
14:35:23.966668 2047 2039 2131.7796 2133.6003 2131.2594 2130.9993 2130.7392 2125.7973 2131.2594 2131.2594 2133.8604 2135.9412 2130.219 2133.0801 2160.6507 2509.965 
14:35:23.974669 2045 2039 2130.4791 2132.82 2131.2594 2131.5195 2131.5195 2124.2367 2129.6988 2132.0397 2134.3806 2135.9412 2129.6988 2130.7392 2158.5699 2505.5433 
14:35:23.982668 2046 2038 2130.9993 2131.7796 2132.2998 2130.4791 2131.5195 2129.4387 2127.618 2132.2998 2132.82 2135.421 2131.2594 2133.3402 2159.6103 2503.2024 
14:35:23.990662 2044 2036 2131.2594 2132.0397 2132.5599 2129.4387 2131.5195 2136.4614 2127.8781 2132.2998 2132.82 2135.6811 2131.5195 2132.5599 2159.8704 2503.7226 
14:35:23.998666 2043 2035 2130.7392 2131.5195 2132.2998 2131.2594 2131.5195 2136.9816 2128.1382 2134.1205 2134.3806 2135.1609 2134.6407 2134.6407 2160.1305 2504.5029 
14:35:24.006669 2042 2035 2131.2594 2131.5195 2131.5195 2130.9993 2130.7392 2132.2998 2126.5776 2133.8604 2133.6003 2134.3806 2137.2417 2137.7619 2160.1305 2505.0231 
14:35:24.013666 2045 2037 2130.9993 2132.82 2131.2594 2130.7392 2131.7796 2125.5372 2128.9185 2132.2998 2132.0397 2134.9008 2133.6003 2136.2013 2159.8704 2504.763 
14:35:24.021665 2047 2040 2132.2998 2132.5599 2129.9589 2129.6988 2132.0397 2123.9766 2130.7392 2132.2998 2132.0397 2134.3806 2130.7392 2135.1609 2161.1709 2507.8842 
14:35:24.029667 2046 2040 2130.7392 2130.9993 2131.2594 2132.0397 2130.9993 2128.3983 2132.0397 2133.6003 2134.1205 2133.6003 2132.0397 2134.6407 2160.9108 2503.2024 
14:35:24.037664 2046 2039 2132.5599 2131.2594 2130.9993 2129.9589 2129.9589 2134.9008 2129.1786 2132.0397 2132.82 2135.1609 2132.82 2136.2013 2162.2113 2506.8438 
14:35:24.045668 2044 2038 2130.4791 2132.5599 2131.2594 2131.7796 2133.0801 2136.7215 2131.7796 2133.3402 2131.2594 2136.2013 2132.5599 2135.6811 2160.9108 2504.2428 
14:35:24.053668 2044 2038 2133.3402 2132.0397 2130.7392 2131.5195 2132.2998 2135.9412 2130.219 2133.6003 2133.6003 2135.6811 2133.3402 2136.4614 2161.1709 2506.0635 
14:35:24.061665 2043 2038 2132.2998 2131.2594 2131.5195 2132.5599 2131.7796 2132.0397 2132.5599 2133.0801 2135.421 2134.9008 2132.0397 2135.6811 2161.431 2501.6418 
14:35:24.069663 2047 2040 2132.2998 2130.7392 2131.7796 2130.4791 2129.4387 2125.7973 2128.6584 2131.2594 2132.82 2135.1609 2131.5195 2137.5018 2164.032 2507.364 
14:35:24.076744 2047 2039 2128.9185 2131.5195 2132.82 2132.0397 2130.9993 2125.017 2129.9589 2131.5195 2131.5195 2135.9412 2132.0397 2135.421 2160.1305 2505.0231 
14:35:24.084713 2045 2038 2130.4791 2132.0397 2131.5195 2130.9993 2130.9993 2129.9589 2128.1382 2131.5195 2132.5599 2135.6811 2131.5195 2134.1205 2158.0497 2507.1039 
14:35:24.092712 2044 2038 2129.9589 2132.82 2130.9993 2131.7796 2134.3806 2134.6407 2131.2594 2130.9993 2133.0801 2134.6407 2128.3983 2131.2594 2158.83 2503.9827 
14:35:24.100701 2045 2038 2132.2998 2130.9993 2130.7392 2129.1786 2131.2594 2134.6407 2130.219 2130.7392 2132.82 2135.6811 2130.7392 2131.7796 2159.0901 2506.3236 
14:35:24.108713 2044 2038 2132.2998 2130.7392 2131.2594 2128.3983 2129.9589 2131.2594 2129.6988 2131.2594 2132.0397 2135.6811 2131.7796 2132.0397 2157.2694 2503.9827 
